,job title,ONET skill,skill name,context
93,Alliance Marketing Manager,42251612-Weights,weights,Provide weights and final location to logistics.
94,Alliance Marketing Manager,44111809-Templates,templates,Create customer final proposal using standard templates.
95,Alliance Marketing Manager,2.B.1.d-Negotiation,negotiation,Order negotiation and closing.
96,Sales Manager - North America Rail and Traction,2.B.1.d-Negotiation,negotiation,CONTRACT NEGOTIATION & Strong Legal Understanding -LRB-for contracts and Buy America Requirements-RRB-.
97,Operations Assistant,2.C.10-Transportation,transportation,Transportation experience is preferred.
98,Operations Supervisor,2.C.10-Transportation,transportation,"Qualifications: Bachelor's degree, preferred high school diploma, ged equivalent, required terminal, transportation, and/or other related experience, preferred supervisory experience, preferred general knowledge of freight, imports, exports, and proper freight handling techniques basic PC skills, including Microsoft office ability to perform physical Labor -LRB-bending, heavy lifting, etc.-RRB- must be detail oriented and enjoy a fast paced, multi-tasking, customer service minded environment must have excellent verbal and written communications and organizational skills must display sense of urgency, ability to work under pressure, with attention to detail."
99,Operations Supervisor,43231513-Microsoft Office,microsoft office,"Qualifications: Bachelor's degree, preferred high school diploma, ged equivalent, required terminal, transportation, and/or other related experience, preferred supervisory experience, preferred general knowledge of freight, imports, exports, and proper freight handling techniques basic PC skills, including Microsoft office ability to perform physical Labor -LRB-bending, heavy lifting, etc.-RRB- must be detail oriented and enjoy a fast paced, multi-tasking, customer service minded environment must have excellent verbal and written communications and organizational skills must display sense of urgency, ability to work under pressure, with attention to detail."
100,Account Manager,27111802-Levels,levels,"Sell to all size companies such as manufacturers, distributors and big box retail vendors, and to all levels within an organization.qualifications a BA or bs in business, marketing, and/or supply chain management is preferred, but a well-managed and successful sales career will be considered as well."
101,Road Driver Full-Time,25181702-Cargo trailers,cargo trailers,GENERAL DESCRIPTION OF DUTIES: Road drivers are responsible for the pickup and delivery of cargo trailers to and from various long distance destinations.
102,Road Driver Full-Time,25101901-Tractors,tractors,BENEFITS: road tractors average less than 18 months in age.
103,Road Driver Full-Time,25101901-Tractors,tractors,Tractors equipped with power steering.
104,Sr. Systems Engineer,43211502-Workstations,workstations,"Job Description: Position Summary:This is an exempt position that provides both hardware and software support for servers, workstations and other networked devices."
105,Sr. Systems Engineer,2.A.1.c-Writing,writing,application/script writing and development.
106,Sr. Systems Engineer,43211502-Workstations,workstations,"Troubleshoot servers, workstations, and networked devices."
107,Sr. Systems Engineer,43233004-Linux,linux,"Operating System's and software: Linux -LRB-Redhat/centos/fedora, windows, Mac OSX-RRB-; Apache; Sendmail/exim; iptables; Selinux; squid proxy."
108,Sr. Systems Engineer,43233204-IpTables,iptables,"Operating System's and software: Linux -LRB-Redhat/centos/fedora, windows, Mac OSX-RRB-; Apache; Sendmail/exim; iptables; Selinux; squid proxy."
109,"Sr. Network Engineer - Herndon, VA",2.A.1.c-Writing,writing,Assist in proposal writing and customer communications;.
110,"Sr. Network Engineer - Herndon, VA",2.C.9.a-Telecommunications,telecommunications,"Technical understanding of the components of the telecommunications network and a demonstrated ability to quickly assimilate technical data, methods and procedures;."
111,"Sr. Network Engineer - Herndon, VA",2.A.1.c-Writing,writing,Assist in proposal writing and customer communications;.
112,"Sr. Network Engineer - Herndon, VA",2.C.9.a-Telecommunications,telecommunications,"Technical understanding of the components of the telecommunications network and a demonstrated ability to quickly assimilate technical data, methods and procedures;."
113,Sr. Network Engineer,2.A.1.c-Writing,writing,Assist in proposal writing and customer communications;.
114,Sr. Network Engineer,2.C.9.a-Telecommunications,telecommunications,"Technical understanding of the components of the telecommunications network and a demonstrated ability to quickly assimilate technical data, methods and procedures;."
115,Driver,25101507-Trucks,trucks,"Responsibilities include: make local deliveries with a company vehicle load and unload trucks maintain inventory accuracy maintain a neat, safe and organized work environment providing timely and accurate service."
116,Driver,25101507-Trucks,trucks,"Within hours of calling one of our highly trained team members,an order will be delivered to the job site on one of our trucks."
117,Driver,43232611-Square,square,"With over 30,000 stocked items, over 3,000 vendors, over 700,000 square feet of warehouse space and over 17 acres of yard space in the southeast and Texas, Ram tool is a one stop shop forour customers' construction supply needs."
118,Senior Instrumentation Engineer,40141609-Control valves,control valves,"Lead Electrical Project team prepare designs, specifications, and drawings for instrumentation, control valves, and PLC/DCS systems."
119,Senior Instrumentation Engineer,2.C.3.c-Design,design,Instrument list I/O list conceptual design able to read P&ID; instrumentation specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of ENGINEERING SCOPES OF W
120,Senior Instrumentation Engineer,44111807-Engineering scales,engineering scopes,Instrument list I/O list conceptual design able to read P&ID; instrumentation specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of ENGINEERING SCOPES OF W
121,Senior Mechanical/Piping Designer,2.C.3.e-Mechanical,mechanical,"Mechanical Design of piping systems, machine design, Duct Tie-point lists valve lists equipment lists conceptual design detail design drawings including plans and isometrics mechanical/piping specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes site work - including as built conditions, locating tie-points construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team participation in project meetings."
122,Senior Mechanical/Piping Designer,2.C.3.c-Design,design,"Mechanical Design of piping systems, machine design, Duct Tie-point lists valve lists equipment lists conceptual design detail design drawings including plans and isometrics mechanical/piping specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes site work - including as built conditions, locating tie-points construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team participation in project meetings."
123,Senior Mechanical/Piping Designer,2.C.3.c-Design,design,"Mechanical Design of piping systems, machine design, Duct Tie-point lists valve lists equipment lists conceptual design detail design drawings including plans and isometrics mechanical/piping specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes site work - including as built conditions, locating tie-points construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team participation in project meetings."
124,Senior Mechanical/Piping Designer,2.C.3.c-Design,design,"Mechanical Design of piping systems, machine design, Duct Tie-point lists valve lists equipment lists conceptual design detail design drawings including plans and isometrics mechanical/piping specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes site work - including as built conditions, locating tie-points construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team participation in project meetings."
125,Senior Mechanical/Piping Designer,2.C.3.c-Design,design,"Mechanical Design of piping systems, machine design, Duct Tie-point lists valve lists equipment lists conceptual design detail design drawings including plans and isometrics mechanical/piping specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes site work - including as built conditions, locating tie-points construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team participation in project meetings."
126,Senior Mechanical/Piping Designer,2.B.1.b-Coordination,coordination,"Mechanical Design of piping systems, machine design, Duct Tie-point lists valve lists equipment lists conceptual design detail design drawings including plans and isometrics mechanical/piping specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes site work - including as built conditions, locating tie-points construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team participation in project meetings."
127,Senior Mechanical/Piping Designer,2.B.1.b-Coordination,coordination,"Mechanical Design of piping systems, machine design, Duct Tie-point lists valve lists equipment lists conceptual design detail design drawings including plans and isometrics mechanical/piping specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes site work - including as built conditions, locating tie-points construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team participation in project meetings."
128,Senior Mechanical/Piping Designer,44111807-Engineering scales,engineering scopes,"Mechanical Design of piping systems, machine design, Duct Tie-point lists valve lists equipment lists conceptual design detail design drawings including plans and isometrics mechanical/piping specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes site work - including as built conditions, locating tie-points construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team participation in project meetings."
129,Senior Mechanical/Piping Designer,2.C.3.c-Design,design,"10+ years of industrial design in specialty chemicals preferred other industrial industries will be considered if those industries are in line withapsclients process piping design experience in industrial process facilities knowledge in pipe, pipe fittings, pipe support, valves, and insulation experience in development of equipment arrangements field experience including gathering existing field data and dimensions experience in construction support/oversight experience in startup and commissioning working know"
130,Senior Mechanical/Piping Designer,2.C.3.c-Design,design,"10+ years of industrial design in specialty chemicals preferred other industrial industries will be considered if those industries are in line withapsclients process piping design experience in industrial process facilities knowledge in pipe, pipe fittings, pipe support, valves, and insulation experience in development of equipment arrangements field experience including gathering existing field data and dimensions experience in construction support/oversight experience in startup and commissioning working know"
131,Senior Electrical Engineer,2.C.3.c-Design,design,"Motor load list calculations including - service entrance, voltage drop, conduit fill conceptual design able to read P&ID; electrical specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes project status reporting site work - including as built conditions, locating power sources construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team."
132,Senior Electrical Engineer,2.B.1.b-Coordination,coordination,"Motor load list calculations including - service entrance, voltage drop, conduit fill conceptual design able to read P&ID; electrical specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes project status reporting site work - including as built conditions, locating power sources construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team."
133,Senior Electrical Engineer,2.B.1.b-Coordination,coordination,"Motor load list calculations including - service entrance, voltage drop, conduit fill conceptual design able to read P&ID; electrical specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes project status reporting site work - including as built conditions, locating power sources construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team."
134,Senior Electrical Engineer,44111807-Engineering scales,engineering scopes,"Motor load list calculations including - service entrance, voltage drop, conduit fill conceptual design able to read P&ID; electrical specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes project status reporting site work - including as built conditions, locating power sources construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team."
135,Senior Electrical Designer,2.C.3.c-Design,design,Are you seeking a position where you can use your electrical design skills as part of a team to create an innovative solution to challenging industrial processes?.
136,Senior Electrical Designer,2.C.3.c-Design,design,"Control panel layouts and interconnection motor load list calculations including - load, voltage drop, conduit fill conceptual design able to read P&ID; electrical specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes site work - including as built conditions, locating power sources construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team."
137,Senior Electrical Designer,2.B.1.b-Coordination,coordination,"Control panel layouts and interconnection motor load list calculations including - load, voltage drop, conduit fill conceptual design able to read P&ID; electrical specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes site work - including as built conditions, locating power sources construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team."
138,Senior Electrical Designer,2.B.1.b-Coordination,coordination,"Control panel layouts and interconnection motor load list calculations including - load, voltage drop, conduit fill conceptual design able to read P&ID; electrical specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes site work - including as built conditions, locating power sources construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team."
139,Senior Electrical Designer,44111807-Engineering scales,engineering scopes,"Control panel layouts and interconnection motor load list calculations including - load, voltage drop, conduit fill conceptual design able to read P&ID; electrical specifications construction scopes of work and Specifications Construction Bid Packages Support Development of Project Engineering Bids Support Development of engineering scopes of Work Support Development of total install cost estimates development of scope change orders input to project schedule - development and ongoing client and vendor correspondence client and vendor meetings meeting minutes site work - including as built conditions, locating power sources construction support/oversight Inter-discipline coordination and intra-discipline coordination with project team."
140,Senior Electrical Designer,2.C.3.c-Design,design,10+ years of industrial design in specialty chemicals preferred other industrial industries will be considered if those industries are in line with APS clients electrical and control design experience in industrial process facilities working
141,Senior Electrical Designer,2.C.3.c-Design,design,10+ years of industrial design in specialty chemicals preferred other industrial industries will be considered if those industries are in line with APS clients electrical and control design experience in industrial process facilities working
142,Budget Execution Manager,2.B.3.e-Programming,programming,"Overview:This is an outstanding opportunity for those with demonstrated experience and knowledge related to the areas of planning, programming, budgeting, and execution -LRB-PPBE-RRB-."
143,Budget Execution Manager,2.B.3.e-Programming,programming,"Michael's is seeking candidates who have a firm understanding of Dod Accounting and Audit Practices; required experience in planning, programming, budgeting, and execution -LRB-Ppbe-RRB-; must have experience with automated tools."
144,Financial Management Advisor,43231513-Microsoft Office,microsoft office,"Proficiency with Microsoft Office -LRB-word, Excel, powerpoint-RRB-."